"","Genetta genetta","Herpestes ichneumon","Lepus granatensis","Lynx pardinus","Meles meles","Oryctolagus cuniculus","Vulpes vulpes"
"Dense scrubland",0.177,0.135,0.006,0.145,0.038,0.009,0.079
"Dunes",0.077,0.042,0.051,0.032,0.024,0.001,0.058
"Forest",0.387,0.09,0.097,0.054,0.344,0.006,0.234
"Grassland",0.081,0.105,0.717,NA,0.148,0.009,0.206
"Sparse scrubland",NA,0.312,0.01,NA,0.047,0.061,0.07
"Wetlands",0.226,0.234,0.118,NA,0.341,0.099,0.315
"Wooded scrubland",0.051,0.082,NA,0.769,0.058,0.815,0.038
