"predator_sp","prey_sp","pianka_index"
"Vulpes vulpes","Lepus granatensis",0.5
"Herpestes ichneumon","Lepus granatensis",0.28
"Genetta genetta","Lepus granatensis",0.1
"Lynx pardinus","Lepus granatensis",0
"Meles meles","Lepus granatensis",0.26
"Vulpes vulpes","Oryctolagus cuniculus",0.1
"Herpestes ichneumon","Oryctolagus cuniculus",0.2
"Genetta genetta","Oryctolagus cuniculus",0.01
"Lynx pardinus","Oryctolagus cuniculus",0.31
"Meles meles","Oryctolagus cuniculus",0.05
